order_id,customer_id,store_id,city,province,product_id,quantity,unit_price_cad,total_amount_cad,transaction_timestamp
ORD-2026-00001,CUST-5086,NR-STORE-101,Calgary,AB,PRD-1002,3,450.0,1350.0,2026-04-01 07:28:00
ORD-2026-00002,CUST-5117,NR-STORE-104,Lethbridge,AB,PRD-1002,3,450.0,1350.0,2026-06-25 03:49:00
ORD-2026-00003,CUST-5015,NR-STORE-101,Medicine Hat,AB,PRD-1003,1,899.5,899.5,2026-03-03 11:29:00
ORD-2026-00004,CUST-5140,NR-STORE-105,Medicine Hat,AB,PRD-1004,1,189.99,189.99,2026-03-16 04:24:00
ORD-2026-00005,CUST-5015,NR-STORE-104,Red Deer,AB,PRD-1004,2,189.99,379.98,2026-02-12 16:30:00
ORD-2026-00006,CUST-5031,NR-STORE-102,Lethbridge,AB,PRD-1002,2,450.0,900.0,2026-05-16 19:18:00
ORD-2026-00007,CUST-5199,NR-STORE-106,Medicine Hat,AB,PRD-1004,1,189.99,189.99,2026-06-24 13:33:00
ORD-2026-00008,CUST-5014,NR-STORE-104,Medicine Hat,AB,PRD-1004,2,189.99,379.98,2026-04-27 22:11:00
ORD-2026-00009,CUST-5197,NR-STORE-104,Red Deer,AB,PRD-1004,1,189.99,189.99,2026-02-24 04:18:00
ORD-2026-00010,CUST-5098,NR-STORE-106,Calgary,AB,PRD-1002,3,450.0,1350.0,2026-06-07 19:56:00
ORD-2026-00011,CUST-5023,NR-STORE-105,Calgary,AB,PRD-1004,2,189.99,379.98,2026-01-05 01:13:00
ORD-2026-00012,CUST-5185,NR-STORE-103,Medicine Hat,AB,PRD-1003,2,899.5,1799.0,2026-04-17 20:43:00
ORD-2026-00013,CUST-5104,NR-STORE-103,Medicine Hat,AB,PRD-1001,3,299.99,899.97,2026-06-19 12:05:00
ORD-2026-00014,CUST-5140,NR-STORE-102,Lethbridge,AB,PRD-1004,1,189.99,189.99,2026-02-12 09:02:00
ORD-2026-00015,CUST-5055,NR-STORE-104,Calgary,AB,PRD-1003,2,899.5,1799.0,2026-02-06 18:18:00
ORD-2026-00016,CUST-5151,NR-STORE-107,Red Deer,AB,PRD-1004,2,189.99,379.98,2026-03-02 13:40:00
ORD-2026-00017,CUST-5099,NR-STORE-106,Medicine Hat,AB,PRD-1004,2,189.99,379.98,2026-01-04 00:31:00
ORD-2026-00018,CUST-5061,NR-STORE-102,Medicine Hat,AB,PRD-1001,3,299.99,899.97,2026-01-07 00:33:00
ORD-2026-00019,CUST-5068,NR-STORE-102,Medicine Hat,AB,PRD-1004,1,189.99,189.99,2026-06-21 21:26:00
ORD-2026-00020,CUST-5174,NR-STORE-101,Red Deer,AB,PRD-1004,1,189.99,189.99,2026-04-18 15:11:00
ORD-2026-00021,CUST-5146,NR-STORE-101,Lethbridge,AB,PRD-1004,1,189.99,189.99,2026-04-18 13:29:00
ORD-2026-00022,CUST-5080,NR-STORE-103,Lethbridge,AB,PRD-1003,2,899.5,1799.0,2026-02-27 03:30:00
ORD-2026-00023,CUST-5020,NR-STORE-105,Lethbridge,AB,PRD-1004,1,189.99,189.99,2026-03-16 02:49:00
ORD-2026-00024,CUST-5154,NR-STORE-107,Red Deer,AB,PRD-1001,1,299.99,299.99,2026-02-20 23:59:00
ORD-2026-00025,CUST-5086,NR-STORE-107,Edmonton,AB,PRD-1002,1,450.0,450.0,2026-02-11 02:44:00
ORD-2026-00026,CUST-5098,NR-STORE-104,Red Deer,AB,PRD-1002,2,450.0,900.0,2026-02-21 23:57:00
ORD-2026-00027,CUST-5052,NR-STORE-105,Red Deer,AB,PRD-1003,2,899.5,1799.0,2026-04-25 23:29:00
ORD-2026-00028,CUST-5150,NR-STORE-107,Medicine Hat,AB,PRD-1003,1,899.5,899.5,2026-03-24 17:54:00
ORD-2026-00029,CUST-5043,NR-STORE-107,Calgary,AB,PRD-1004,3,189.99,569.97,2026-02-03 08:21:00
ORD-2026-00030,CUST-5087,NR-STORE-101,Calgary,AB,PRD-1004,1,189.99,189.99,2026-04-07 14:42:00
