order_id,customer_id,store_id,city,province,product_id,quantity,unit_price_cad,total_amount_cad,order_status,transaction_timestamp
ORD-2026-00001,CUST-5086,NR-STORE-101,Calgary,AB,PRD-1002,3,450.0,1350.0,in_progress,2026-04-01 07:28:00
ORD-2026-00002,CUST-5117,NR-STORE-104,Lethbridge,AB,PRD-1002,3,450.0,1350.0,returned,2026-06-25 03:49:00
ORD-2026-00003,CUST-5015,NR-STORE-101,Medicine Hat,AB,PRD-1003,1,899.5,899.5,shipped,2026-03-03 11:29:00
ORD-2026-00004,CUST-5140,NR-STORE-105,Medicine Hat,AB,PRD-1004,1,189.99,189.99,cancelled,2026-03-16 04:24:00
ORD-2026-00005,CUST-5015,NR-STORE-104,Red Deer,AB,PRD-1004,2,189.99,379.98,delivered,2026-02-12 16:30:00
ORD-2026-00006,CUST-5132,NR-STORE-103,Red Deer,AB,PRD-1005,4,350.5,1402.0,shipped,2026-01-26 23:38:00
ORD-2026-00007,CUST-5120,NR-STORE-103,Calgary,AB,PRD-1005,4,350.5,1402.0,shipped,2026-03-12 11:42:00
ORD-2026-00008,CUST-5136,NR-STORE-102,Edmonton,AB,PRD-1005,1,350.5,350.5,in_progress,2026-05-24 16:11:00
ORD-2026-00009,CUST-5182,NR-STORE-101,Red Deer,AB,PRD-1005,3,350.5,1051.5,shipped,2026-02-17 19:46:00
ORD-2026-00010,CUST-5076,NR-STORE-101,Medicine Hat,AB,PRD-1004,1,189.99,189.99,in_progress,2026-04-18 01:21:00
ORD-2026-01001,CUST-5200,NR-STORE-101,Calgary,AB,PRD-1001,2,120.0,240.0,in_progress,2026-08-07 09:15:00
ORD-2026-01002,CUST-5201,NR-STORE-102,Edmonton,AB,PRD-1005,1,350.5,350.5,shipped,2026-08-07 10:00:00
ORD-2026-01003,CUST-5202,NR-STORE-103,Red Deer,AB,PRD-1003,4,450.0,1800.0,delivered,2026-08-07 10:30:00
ORD-2026-01004,CUST-5203,NR-STORE-104,Lethbridge,AB,PRD-1003,1,899.5,899.5,in_progress,2026-08-07 11:05:00
ORD-2026-01005,CUST-5204,NR-STORE-105,Medicine Hat,AB,PRD-1004,3,189.99,569.97,cancelled,2026-08-07 11:45:00
